,new_vehicle_price_dollars
2043_Ford, 50297.83033472508395789191126823425292968750
2044_Ford, 50348.77043233288713963702321052551269531250
2045_Ford, 50255.49987624607456382364034652709960937500
2046_Ford, 50152.32827624749916139990091323852539062500
2047_Ford, 50094.08848201651562703773379325866699218750
2048_Ford, 50047.10669383040658431127667427062988281250
2049_Ford, 49927.46199298588180681690573692321777343750
2050_Ford, 49835.34712315791693981736898422241210937500
2051_Ford, 49679.57358775335160316899418830871582031250
2052_Ford, 49617.55051511320925783365964889526367187500
2053_Ford, 49470.71500284859212115406990051269531250000
2054_Ford, 49370.42564990018581738695502281188964843750
2055_Ford, 49307.92901371212064987048506736755371093750
2023_General Motors, 50951.17844216817320557311177253723144531250
2024_General Motors, 49919.17614104328822577372193336486816406250
2025_General Motors, 50035.39363309917825972661375999450683593750
2026_General Motors, 50346.02770737300306791439652442932128906250
2027_General Motors, 50764.29478880423994269222021102905273437500
2028_General Motors, 50724.42619321978418156504631042480468750000
2029_General Motors, 50893.86121162216295488178730010986328125000
2030_General Motors, 50250.74636422846378991380333900451660156250
2031_General Motors, 50137.08920302185288164764642715454101562500
2032_General Motors, 50149.90614585619186982512474060058593750000
2033_General Motors, 50011.22834675281774252653121948242187500000
2034_General Motors, 49929.20452625765756238251924514770507812500
2035_General Motors, 49838.10683323986449977383017539978027343750
2036_General Motors, 49746.47055097970587667077779769897460937500
2037_General Motors, 49724.04655433321750024333596229553222656250
2038_General Motors, 49667.57884441156056709587574005126953125000
2039_General Motors, 49619.11395710654323920607566833496093750000
2040_General Motors, 49556.36019508924073306843638420104980468750
2041_General Motors, 49735.83071193302748724818229675292968750000
2042_General Motors, 49632.10201815987238660454750061035156250000
2043_General Motors, 49442.22416947935562347993254661560058593750
2044_General Motors, 49461.42684614469180814921855926513671875000
2045_General Motors, 49415.03425095494458219036459922790527343750
2046_General Motors, 49428.70742720166163053363561630249023437500
2047_General Motors, 49385.81642348690365906804800033569335937500
2048_General Motors, 49278.70453879711567424237728118896484375000
2049_General Motors, 49201.23713505949854152277112007141113281250
2050_General Motors, 49105.71942647892137756571173667907714843750
2051_General Motors, 49061.08329629278159700334072113037109375000
2052_General Motors, 49013.75093271744844969362020492553710937500
2053_General Motors, 48896.94706422805757028982043266296386718750
2054_General Motors, 48822.47729943995364010334014892578125000000
2055_General Motors, 48757.62139921441848855465650558471679687500
2023_Honda, 39144.90255132205493282526731491088867187500
2024_Honda, 39071.93116539499169448390603065490722656250
2025_Honda, 38904.13724571987404488027095794677734375000
2026_Honda, 39373.90887811785069061443209648132324218750
2027_Honda, 40044.61257219408435048535466194152832031250
2028_Honda, 39473.44278695285902358591556549072265625000
2029_Honda, 39748.48958605753432493656873703002929687500
2030_Honda, 39685.10223447790485806763172149658203125000
2031_Honda, 39572.23817726499692071229219436645507812500
2032_Honda, 39698.11882044257799861952662467956542968750
2033_Honda, 39653.71293484655325300991535186767578125000
2034_Honda, 39638.29929395974613726139068603515625000000
2035_Honda, 39601.25066214304388267919421195983886718750
2036_Honda, 39619.10801330453978152945637702941894531250
2037_Honda, 39564.47036585020396159961819648742675781250
2038_Honda, 39665.79661070136353373527526855468750000000
2039_Honda, 39693.36363057258131448179483413696289062500
2040_Honda, 39606.98822858477069530636072158813476562500
2041_Honda, 39620.94662350276485085487365722656250000000
2042_Honda, 39608.84577397035900503396987915039062500000
2043_Honda, 39539.64436235764878802001476287841796875000
2044_Honda, 39543.68537813902366906404495239257812500000
2045_Honda, 39496.85112043109256774187088012695312500000
2046_Honda, 39587.80390781599999172613024711608886718750
2047_Honda, 39520.76431211188173620030283927917480468750
2048_Honda, 39501.92968923354783328250050544738769531250
2049_Honda, 39530.54248035822092788293957710266113281250
2050_Honda, 39478.15301225943403551355004310607910156250
2051_Honda, 39483.36437535602453863248229026794433593750
2052_Honda, 39484.67935508389928145334124565124511718750
2053_Honda, 39458.43117571030597900971770286560058593750
2054_Honda, 39452.42582148699875688180327415466308593750
2055_Honda, 39408.17137226663908222690224647521972656250
2023_Hyundai, 40192.55807254138198914006352424621582031250
2024_Hyundai, 39731.31364529881102498620748519897460937500
2025_Hyundai, 39352.49837879386905115097761154174804687500
2026_Hyundai, 36184.07598039916047127917408943176269531250
2027_Hyundai, 36581.75679618394497083500027656555175781250
2028_Hyundai, 36325.48567248844483401626348495483398437500
2029_Hyundai, 36427.70654543847922468557953834533691406250
2030_Hyundai, 36466.99851926061091944575309753417968750000
2031_Hyundai, 36242.04479254106263397261500358581542968750
2032_Hyundai, 36313.08804168485221453011035919189453125000
2033_Hyundai, 36135.01950387205579318106174468994140625000
2034_Hyundai, 36068.81510348130541387945413589477539062500
2035_Hyundai, 35989.66048627907730406150221824645996093750
2036_Hyundai, 35967.43261377800808986648917198181152343750
2037_Hyundai, 35920.08849963283864781260490417480468750000
2038_Hyundai, 35951.42158650548662990331649780273437500000
2039_Hyundai, 35913.39434401753533165901899337768554687500
2040_Hyundai, 35891.24659456604422302916646003723144531250
2041_Hyundai, 35843.29189481051434995606541633605957031250
2042_Hyundai, 35901.19109410379314795136451721191406250000
2043_Hyundai, 35727.37011948387225857004523277282714843750
2044_Hyundai, 35668.11156799088348634541034698486328125000
2045_Hyundai, 35665.10376280534546822309494018554687500000
2046_Hyundai, 35680.06609582755481824278831481933593750000
2047_Hyundai, 35594.45568740549060748890042304992675781250
2048_Hyundai, 35577.77498091851884964853525161743164062500
2049_Hyundai, 35523.97630660561844706535339355468750000000
2050_Hyundai, 35460.00102214081562124192714691162109375000
2051_Hyundai, 35497.30991463697864674031734466552734375000
2052_Hyundai, 35376.33145198787678964436054229736328125000
2053_Hyundai, 35327.48779121803818270564079284667968750000
2054_Hyundai, 35261.03910229185567004606127738952636718750
2055_Hyundai, 35224.53813774439186090603470802307128906250
2023_JLR, 69049.83012418226280715316534042358398437500
2024_JLR, 68699.96900993192684836685657501220703125000
2025_JLR, 68033.04146492452127858996391296386718750000
2026_JLR, 68100.07392053162038791924715042114257812500
2027_JLR, 68398.02787868461746256798505783081054687500
2028_JLR, 68393.87865116278408095240592956542968750000
2029_JLR, 68471.77613018560805357992649078369140625000
2030_JLR, 68344.69838800122670363634824752807617187500
2031_JLR, 68145.61300255585229024291038513183593750000
2032_JLR, 68121.44534651938010938465595245361328125000
2033_JLR, 67896.30734398665663320571184158325195312500
2034_JLR, 67769.52749581719399429857730865478515625000
2035_JLR, 67605.85949035317753441631793975830078125000
2036_JLR, 67552.75715186621528118848800659179687500000
2037_JLR, 67462.24076896146289072930812835693359375000
2038_JLR, 67422.19107771897688508033752441406250000000
2039_JLR, 67350.30690490313281770795583724975585937500
2040_JLR, 67252.97780722123570740222930908203125000000
2041_JLR, 67161.69587054898147471249103546142578125000
2042_JLR, 67088.91641407253337092697620391845703125000
2043_JLR, 66961.18541363399708643555641174316406250000
2044_JLR, 66902.12633815681328997015953063964843750000
2045_JLR, 66809.04893478495068848133087158203125000000
2046_JLR, 66806.35219910884916316717863082885742187500
2047_JLR, 66701.04042101702361833304166793823242187500
2048_JLR, 66612.73302436985250096768140792846679687500
2049_JLR, 66527.60157864367647562175989151000976562500
2050_JLR, 66446.43238443641166668385267257690429687500
2051_JLR, 66362.44544780823343899101018905639648437500
2052_JLR, 66312.65274133248021826148033142089843750000
2053_JLR, 66223.13959966543188784271478652954101562500
2054_JLR, 66084.36565543335746042430400848388671875000
2055_JLR, 66046.19028866761073004454374313354492187500
2023_Kia, 37139.86964797248947434127330780029296875000
2024_Kia, 36852.72724676071084104478359222412109375000
2025_Kia, 36728.07916040193231310695409774780273437500
2026_Kia, 38154.89969300728989765048027038574218750000
2027_Kia, 38657.88600457116990583017468452453613281250
2028_Kia, 38069.15988505921995965763926506042480468750
2029_Kia, 38135.31285949015000369399785995483398437500
2030_Kia, 38091.92512072594399796798825263977050781250
2031_Kia, 37676.74531471402588067576289176940917968750
2032_Kia, 37739.04191812021599616855382919311523437500
2033_Kia, 37605.29163443172728875651955604553222656250
2034_Kia, 37599.32322977564035682007670402526855468750
2035_Kia, 37506.96221428585704416036605834960937500000
2036_Kia, 37483.71731812445796094834804534912109375000
2037_Kia, 37424.99952460754138883203268051147460937500
2038_Kia, 37591.74834558431757614016532897949218750000
2039_Kia, 37498.28083975757908774539828300476074218750
2040_Kia, 37423.76381176616268930956721305847167968750
2041_Kia, 37371.05384143002447672188282012939453125000
2042_Kia, 37336.38669597203261218965053558349609375000
2043_Kia, 37224.21803732126863906159996986389160156250
2044_Kia, 37292.28782622174185235053300857543945312500
2045_Kia, 37221.14931878463539760559797286987304687500
2046_Kia, 37213.36862354379263706505298614501953125000
2047_Kia, 37230.41952530175331048667430877685546875000
2048_Kia, 37127.87564583209314150735735893249511718750
2049_Kia, 37043.98535275385802378877997398376464843750
2050_Kia, 37016.56586608327052090317010879516601562500
2051_Kia, 37071.09194483348255744203925132751464843750
2052_Kia, 36998.82660641683469293639063835144042968750
2053_Kia, 36986.06967355920642148703336715698242187500
2054_Kia, 36892.39438088321912800893187522888183593750
2055_Kia, 36874.90980366503208642825484275817871093750
2023_Lucid, 77230.99112729106855113059282302856445312500
2024_Lucid, 76381.61469574649527203291654586791992187500
2025_Lucid, 75735.35195849183946847915649414062500000000
2026_Lucid, 72749.50564712953928392380475997924804687500
2027_Lucid, 71625.48200661598821170628070831298828125000
2028_Lucid, 69706.98186437015829142183065414428710937500
2029_Lucid, 68839.50924213661346584558486938476562500000
2030_Lucid, 68048.31659441870579030364751815795898437500
2031_Lucid, 67320.98495692059805151075124740600585937500
2032_Lucid, 66644.70658497860131319612264633178710937500
2033_Lucid, 66027.15120010146347340196371078491210937500
2034_Lucid, 65445.67312973445950774475932121276855468750
2035_Lucid, 64883.46387913076614495366811752319335937500
2036_Lucid, 64622.10060211115342099219560623168945312500
2037_Lucid, 64371.19099574949359521269798278808593750000
2038_Lucid, 64132.38235380447440547868609428405761718750
2039_Lucid, 63895.56235643926629563793540000915527343750
2040_Lucid, 63665.07377245563111500814557075500488281250
2041_Lucid, 63438.14094462538923835381865501403808593750
2042_Lucid, 63212.69507594811148010194301605224609375000
2043_Lucid, 62990.79111968755751149728894233703613281250
2044_Lucid, 62773.21391753110219724476337432861328125000
2045_Lucid, 62560.97444520824501523748040199279785156250
2046_Lucid, 62346.96194909293262753635644912719726562500
2047_Lucid, 62135.28690164723957423120737075805664062500
2048_Lucid, 61929.94053573852579575031995773315429687500
2049_Lucid, 61723.57656577311718137934803962707519531250
2050_Lucid, 61516.32706481019704369828104972839355468750
2051_Lucid, 61312.82528199384978506714105606079101562500
2052_Lucid, 61112.94604079372948035597801208496093750000
2053_Lucid, 60916.57342395659361500293016433715820312500
2054_Lucid, 60723.59973413084662752225995063781738281250
2055_Lucid, 60533.92448719077947316691279411315917968750
2023_Mazda, 35367.13690106948342872783541679382324218750
2024_Mazda, 35244.53632297634612768888473510742187500000
2025_Mazda, 34856.08101314528175862506031990051269531250
2026_Mazda, 35197.15662600460927933454513549804687500000
2027_Mazda, 35920.09763764951640041545033454895019531250
2028_Mazda, 35246.90679130431817611679434776306152343750
2029_Mazda, 35596.02941494378319475799798965454101562500
2030_Mazda, 35601.16677527713181916624307632446289062500
2031_Mazda, 35330.77363131914898985996842384338378906250
2032_Mazda, 35580.86923631709214532747864723205566406250
2033_Mazda, 35428.90842811890615848824381828308105468750
2034_Mazda, 35414.22721965450909920036792755126953125000
2035_Mazda, 35403.32865917192248161882162094116210937500
2036_Mazda, 35469.64176708937884541228413581848144531250
2037_Mazda, 35419.17617863060149829834699630737304687500
2038_Mazda, 35366.04118198254582239314913749694824218750
2039_Mazda, 35468.04128297528222901746630668640136718750
2040_Mazda, 35300.83482861329684965312480926513671875000
2041_Mazda, 35247.82290301021566847339272499084472656250
2042_Mazda, 35235.19024746185459662228822708129882812500
2043_Mazda, 35205.85174440994160249829292297363281250000
2044_Mazda, 35141.16955212230823235586285591125488281250
2045_Mazda, 35075.25144331820047227665781974792480468750
2046_Mazda, 35178.84852482028509257361292839050292968750
2047_Mazda, 35103.06281909837707644328474998474121093750
2048_Mazda, 35075.52148022143956040963530540466308593750
2049_Mazda, 35035.54036239935521734878420829772949218750
2050_Mazda, 35042.21332892313512274995446205139160156250
2051_Mazda, 34968.00058755702775670215487480163574218750
2052_Mazda, 34913.49874542851466685533523559570312500000
2053_Mazda, 34934.84553108606633031740784645080566406250
2054_Mazda, 34925.48241651362332049757242202758789062500
2055_Mazda, 34873.81428308392787585034966468811035156250
2023_McLaren, 283052.05644681298872455954551696777343750000
2024_McLaren, 282561.47935096913715824484825134277343750000
2025_McLaren, 282810.45694710506359115242958068847656250000
2026_McLaren, 283148.27942648960743099451065063476562500000
2027_McLaren, 285031.11757378873880952596664428710937500000
2028_McLaren, 282835.98718288331292569637298583984375000000
2029_McLaren, 283238.89660548453684896230697631835937500000
2030_McLaren, 283393.34380661329487338662147521972656250000
2031_McLaren, 283416.11853311432059854269027709960937500000
2032_McLaren, 283461.11172335775336250662803649902343750000
2033_McLaren, 283049.13758581667207181453704833984375000000
2034_McLaren, 283212.02540736127411946654319763183593750000
2035_McLaren, 283137.71938082529231905937194824218750000000
2036_McLaren, 283158.22219663212308660149574279785156250000
2037_McLaren, 283090.92516793200047686696052551269531250000
2038_McLaren, 283037.29073355987202376127243041992187500000
2039_McLaren, 283041.11286836146609857678413391113281250000
2040_McLaren, 282851.77331729134311899542808532714843750000
2041_McLaren, 282851.17877245659474283456802368164062500000
2042_McLaren, 282811.19886515272082760930061340332031250000
2043_McLaren, 282713.48686768469633534550666809082031250000
2044_McLaren, 282639.78172184893628582358360290527343750000
2045_McLaren, 282563.40167205937905237078666687011718750000
2046_McLaren, 282706.39251870557200163602828979492187500000
2047_McLaren, 282600.35226253129076212644577026367187500000
2048_McLaren, 282527.24473634362220764160156250000000000000
2049_McLaren, 282431.48947281192522495985031127929687500000
2050_McLaren, 282368.29751612944528460502624511718750000000
2051_McLaren, 282305.92965008213650435209274291992187500000
2052_McLaren, 282214.25890479428926482796669006347656250000
2053_McLaren, 282206.71778751449892297387123107910156250000
2054_McLaren, 282130.26096817379584535956382751464843750000
2055_McLaren, 282084.95089473971165716648101806640625000000
2023_Mercedes Benz, 79140.05390876031015068292617797851562500000
2024_Mercedes Benz, 78120.34931536301155574619770050048828125000
2025_Mercedes Benz, 72935.08923887365381233394145965576171875000
2026_Mercedes Benz, 72445.44962671303073875606060028076171875000
2027_Mercedes Benz, 67917.04350175557192414999008178710937500000
2028_Mercedes Benz, 67514.56835118742310442030429840087890625000
2029_Mercedes Benz, 67571.33683464617934077978134155273437500000
2030_Mercedes Benz, 67514.58989450454828329384326934814453125000
2031_Mercedes Benz, 67293.46152815702953375875949859619140625000
2032_Mercedes Benz, 67274.22040863362781237810850143432617187500
2033_Mercedes Benz, 67080.39995096827624365687370300292968750000
2034_Mercedes Benz, 66899.30616766061575617641210556030273437500
2035_Mercedes Benz, 66758.53805563646892551332712173461914062500
2036_Mercedes Benz, 66686.65823983305017463862895965576171875000
2037_Mercedes Benz, 66647.93747490848181769251823425292968750000
2038_Mercedes Benz, 66507.22372952871955931186676025390625000000
2039_Mercedes Benz, 66466.86844431453209836035966873168945312500
2040_Mercedes Benz, 66410.67947264995018485933542251586914062500
2041_Mercedes Benz, 66406.87646905900328420102596282958984375000
2042_Mercedes Benz, 66472.34612244062009267508983612060546875000
2043_Mercedes Benz, 66110.10079672466963529586791992187500000000
2044_Mercedes Benz, 65889.07350170490099117159843444824218750000
2045_Mercedes Benz, 65959.11824622283165808767080307006835937500
2046_Mercedes Benz, 65924.78189830433984752744436264038085937500
2047_Mercedes Benz, 65861.28085548258968628942966461181640625000
2048_Mercedes Benz, 65590.57887573087646160274744033813476562500
2049_Mercedes Benz, 65791.28289365301316138356924057006835937500
2050_Mercedes Benz, 65830.56346434282022528350353240966796875000
2051_Mercedes Benz, 65552.42419214862457010895013809204101562500
2052_Mercedes Benz, 65185.13993766320345457643270492553710937500
2053_Mercedes Benz, 65129.69546760428056586533784866333007812500
2054_Mercedes Benz, 64693.41410363960312679409980773925781250000
2055_Mercedes Benz, 64829.29026007834181655198335647583007812500
2023_Mitsubishi, 32872.92476885290670907124876976013183593750
2024_Mitsubishi, 32807.18011718057823600247502326965332031250
2025_Mitsubishi, 32394.36996338901735725812613964080810546875
2026_Mitsubishi, 32753.90032020378566812723875045776367187500
2027_Mitsubishi, 33455.10911982721881940960884094238281250000
2028_Mitsubishi, 32953.11740324077254626899957656860351562500
2029_Mitsubishi, 33176.82549104830104624852538108825683593750
2030_Mitsubishi, 33217.27722259634902002289891242980957031250
2031_Mitsubishi, 33014.14883386636211071163415908813476562500
2032_Mitsubishi, 33190.51592364315729355439543724060058593750
2033_Mitsubishi, 32989.41415450675413012504577636718750000000
2034_Mitsubishi, 33048.06388423676253296434879302978515625000
2035_Mitsubishi, 32964.13039833209040807560086250305175781250
2036_Mitsubishi, 33020.38005037020775489509105682373046875000
2037_Mitsubishi, 32980.18699995685892645269632339477539062500
2038_Mitsubishi, 33119.60219675597181776538491249084472656250
2039_Mitsubishi, 33118.14571353302744682878255844116210937500
2040_Mitsubishi, 33032.54253108868579147383570671081542968750
2041_Mitsubishi, 32987.33621796087390976026654243469238281250
2042_Mitsubishi, 32979.03819516867952188476920127868652343750
2043_Mitsubishi, 32914.80840385899500688537955284118652343750
2044_Mitsubishi, 32879.41138435032189590856432914733886718750
2045_Mitsubishi, 32832.80524234480253653600811958312988281250
2046_Mitsubishi, 32865.32199165211204672232270240783691406250
2047_Mitsubishi, 32834.26962458962952950969338417053222656250
2048_Mitsubishi, 32794.19215572799294022843241691589355468750
2049_Mitsubishi, 32756.06056269842883921228349208831787109375
2050_Mitsubishi, 32722.06612274198778322897851467132568359375
2051_Mitsubishi, 32695.49331400115988799370825290679931640625
2052_Mitsubishi, 32671.83102949366366374306380748748779296875
2053_Mitsubishi, 32658.24854298664649832062423229217529296875
2054_Mitsubishi, 32663.27948264370206743478775024414062500000
2055_Mitsubishi, 32646.55396278971602441743016242980957031250
2023_Nissan, 36417.35155112070788163691759109497070312500
2024_Nissan, 36285.75931569471867987886071205139160156250
2025_Nissan, 36383.88502101596532156690955162048339843750
2026_Nissan, 36795.84297000651713460683822631835937500000
2027_Nissan, 37768.77002330501272808760404586791992187500
2028_Nissan, 37300.27665687406988581642508506774902343750
2029_Nissan, 37531.52385514930210774764418601989746093750
2030_Nissan, 37234.78443629512912593781948089599609375000
2031_Nissan, 37160.83921720408397959545254707336425781250
2032_Nissan, 37268.84906565525307087227702140808105468750
2033_Nissan, 37182.86073958887573098763823509216308593750
2034_Nissan, 37195.64663372631912352517247200012207031250
2035_Nissan, 37132.38259233129065250977873802185058593750
2036_Nissan, 37172.26720441895304247736930847167968750000
2037_Nissan, 37136.35223855996446218341588973999023437500
2038_Nissan, 37061.23328191965265432372689247131347656250
2039_Nissan, 37141.96707460657489718869328498840332031250
2040_Nissan, 37092.29982609987928299233317375183105468750
2041_Nissan, 37079.40486796881305053830146789550781250000
2042_Nissan, 37068.83249418328341562300920486450195312500
2043_Nissan, 37056.36153547633148264139890670776367187500
2044_Nissan, 36974.27560908226587343961000442504882812500
2045_Nissan, 37052.15117289981571957468986511230468750000
2046_Nissan, 37033.43672517350205453112721443176269531250
2047_Nissan, 37026.18402620476990705356001853942871093750
2048_Nissan, 36978.24978111094969790428876876831054687500
2049_Nissan, 36892.85073558164003770798444747924804687500
2050_Nissan, 36877.27102402691525639966130256652832031250
2051_Nissan, 36936.22384050056280102580785751342773437500
2052_Nissan, 36926.55846163260866887867450714111328125000
2053_Nissan, 36892.24111631265259347856044769287109375000
2054_Nissan, 36892.45901120131748029962182044982910156250
2055_Nissan, 36821.39791319191135698929429054260253906250
2023_Rivian, 78117.23033416285761632025241851806640625000
2024_Rivian, 77134.32866358471801504492759704589843750000
2025_Rivian, 76349.13115717370237689465284347534179687500
2026_Rivian, 72128.48138539827778004109859466552734375000
2027_Rivian, 70586.88308163061446975916624069213867187500
2028_Rivian, 69093.68100567744113504886627197265625000000
2029_Rivian, 67856.96088981210778001695871353149414062500
2030_Rivian, 66288.12537701273686252534389495849609375000
2031_Rivian, 65254.24131204343575518578290939331054687500
2032_Rivian, 64288.48796180520002963021397590637207031250
2033_Rivian, 63407.44771133178437594324350357055664062500
2034_Rivian, 62573.22564921637967927381396293640136718750
2035_Rivian, 61762.70028563031519297510385513305664062500
2036_Rivian, 61400.06700267174892360344529151916503906250
2037_Rivian, 61051.73833476153959054499864578247070312500
2038_Rivian, 60720.47833159122092183679342269897460937500
2039_Rivian, 60390.67998672045359853655099868774414062500
2040_Rivian, 60069.29147135753737529739737510681152343750
2041_Rivian, 59752.10431731837161350995302200317382812500
2042_Rivian, 59436.00003981203190051019191741943359375000
2043_Rivian, 59124.27360939741629408672451972961425781250
2044_Rivian, 58818.26682375896780285984277725219726562500
2045_Rivian, 58519.60378726423368789255619049072265625000
2046_Rivian, 58217.33241392597847152501344680786132812500
2047_Rivian, 57917.73301612690556794404983520507812500000
2048_Rivian, 57627.28710192801372613757848739624023437500
2049_Rivian, 57334.44097779817820992320775985717773437500
