,new_vehicle_price_dollars
2023_consolidated_OEM, 55237.09174442387302406132221221923828125000
2024_consolidated_OEM, 53973.88646216042252490296959877014160156250
2025_consolidated_OEM, 52253.76386709890357451513409614562988281250
2026_consolidated_OEM, 50993.80179150200274307280778884887695312500
2027_consolidated_OEM, 49546.44279406019632006064057350158691406250
2028_consolidated_OEM, 47285.32088248840591404587030410766601562500
2029_consolidated_OEM, 47527.47376666026684688404202461242675781250
2030_consolidated_OEM, 47220.02757603140344144776463508605957031250
2031_consolidated_OEM, 47002.63747353874350665137171745300292968750
2032_consolidated_OEM, 47115.44181022737757302820682525634765625000
2033_consolidated_OEM, 47005.24054326034820405766367912292480468750
2034_consolidated_OEM, 46965.47402778819377999752759933471679687500
2035_consolidated_OEM, 46918.18481123884703265503048896789550781250
2036_consolidated_OEM, 46909.54360296697268495336174964904785156250
2037_consolidated_OEM, 46829.12416573463269742205739021301269531250
2038_consolidated_OEM, 47013.76262719595979433506727218627929687500
2039_consolidated_OEM, 46852.33762925768678542226552963256835937500
2040_consolidated_OEM, 46895.08586721176834544166922569274902343750
2041_consolidated_OEM, 46902.22801913090370362624526023864746093750
2042_consolidated_OEM, 46831.69044797404058044776320457458496093750
2043_consolidated_OEM, 46584.85630537880933843553066253662109375000
2044_consolidated_OEM, 46734.40180175750720081850886344909667968750
2045_consolidated_OEM, 46706.75516596568922977894544601440429687500
2046_consolidated_OEM, 46717.38156804874597582966089248657226562500
2047_consolidated_OEM, 46687.76637328618380706757307052612304687500
2048_consolidated_OEM, 46625.69627705708262510597705841064453125000
2049_consolidated_OEM, 46567.97106315330165671184659004211425781250
2050_consolidated_OEM, 46525.43585189391160383820533752441406250000
2051_consolidated_OEM, 46527.69009446782729355618357658386230468750
2052_consolidated_OEM, 46472.42849512651446275413036346435546875000
2053_consolidated_OEM, 46458.40908184524596435949206352233886718750
2054_consolidated_OEM, 46382.02029431706614559516310691833496093750
2055_consolidated_OEM, 46375.51245763914630515500903129577636718750
