input_template_name:,production_multipliers,input_template_version:,0.21,description:,20230208 2021 final rulemaking production_multipliers
start_year,fueling_class:BEV,,,,
2020,1.75,,,,
2021,1.5,,,,
2022,1,,,,
2023,1.5,,,,
2024,1.5,,,,
2025,1,,,,
