input_template_name:,onroad_vehicle_calculations,input_template_version:,0.22,notes:,"PHEV battery sizing based on RAW cycle ranges (UDDS for MDV, US06 for LDV). Retain onroad gap for BEV battery sizing",,
onroad_drive_cycle_weight_year,battery_sizing_drive_cycle_weight_year,fueling_class:BEV:/:nominal_onroad_direct_kwh_per_mile->battery_sizing_onroad_direct_kwh_per_mile,fueling_class:BEV:/:nominal_onroad_direct_kwh_per_mile->onroad_direct_kwh_per_mile,fueling_class:ICE:/:nominal_onroad_direct_co2e_grams_per_mile->onroad_direct_co2e_grams_per_mile,fueling_class:PHEV:/:nominal_onroad_direct_kwh_per_mile->battery_sizing_onroad_direct_kwh_per_mile,fueling_class:PHEV:/:nominal_onroad_direct_kwh_per_mile->onroad_direct_kwh_per_mile,fueling_class:PHEV:/:nominal_onroad_direct_co2e_grams_per_mile->onroad_direct_co2e_grams_per_mile
0,1,0.75,1,1,1,1,1
